,beta_growth,beta_discount,beta_risk_premium,P_trace
1986-06-01,-0.02261111215174569,-0.05065419122380814,0.00867233241945921,0.05745834039817197
1986-07-01,-0.013555029089249708,-0.062350786068237116,-0.011314596234145864,0.05834900647687361
1986-08-01,-0.01305920830779259,-0.06284962896069368,-0.011857236779338113,0.05761371389995964
1986-09-01,-0.013811596602112102,-0.04327601543034521,-0.005708393893999867,0.053077425682405296
1986-10-01,-0.01718794098517121,-0.03282671532757658,0.006686586857146321,0.05473870494026504
1986-11-01,0.0007027011759363419,-0.05875772545832448,0.03496347768732224,0.055270773352705305
1986-12-01,0.011899892737821475,-0.08565947459439181,0.056746653976093034,0.05552991498914433
1987-01-01,0.019224196731526977,-0.10728128074255713,0.07597919052867791,0.056523695995165706
1987-02-01,0.013033581952550704,-0.0995149090747475,0.06231524123672141,0.05826133438738241
1987-03-01,0.0026454899856255144,-0.09365536010401172,0.03223009276308683,0.06013087444422279
1987-04-01,-0.00575901492712113,-0.10518757665993593,0.020262669349862296,0.06084266091883081
1987-05-01,-0.0020721351189405164,-0.10511949312373152,0.022522503805953557,0.061680700610674044
1987-06-01,0.023290316570732564,-0.1146009661646484,0.03350681938687734,0.06195399549156202
1987-07-01,0.006390479530630062,-0.11797866880271711,0.022316006945409694,0.06308762946158175
1987-08-01,-0.10312690315130395,-0.10170955740957943,0.00828237330281759,0.06195700680249995
1987-09-01,-0.18103397559620477,-0.041212558291474057,-0.02527700136555477,0.06286735249724174
1987-10-01,-0.20439219967139718,-0.03510472251744318,-0.04506191069373286,0.06466700685145212
1987-11-01,-0.20250765164606194,-0.001367814287311267,-0.024459523513321348,0.05995910270345662
1987-12-01,-0.0798415306533282,0.008090498877374034,-0.006660169278013731,0.05970335384145588
1988-01-01,-0.011608557586261808,0.015181235087718731,0.011664654191947791,0.06057309551700305
1988-02-01,-0.0009446511546220525,0.010995424294833526,0.014514114368561301,0.0616786862829328
1988-03-01,-0.00783843934717565,0.014849134949671201,0.0036561829718761013,0.06365694453177032
1988-04-01,-0.0054707954672499545,0.013438298320340379,0.004488606012052667,0.06495710405325267
1988-05-01,-0.002853228611132323,0.010508175985926762,0.005749721317973355,0.06623996764821298
1988-06-01,-0.002084940168323984,0.010706139895339483,0.008166161813106169,0.06799515978432813
1988-07-01,-0.006630252374899207,0.016823029415045265,-1.4281880333311125e-05,0.06984012480408058
1988-08-01,-0.0013684789678122724,0.012848379192304402,0.0046113376527614595,0.0716381916504142
1988-09-01,-0.001455980253247194,0.013734782279690636,0.006646039376994846,0.07187214919076212
1988-10-01,-0.0020841233028346625,0.012853650480478812,0.009052545102345134,0.07259987371302817
1988-11-01,-0.0020324909910895863,0.010489061185587015,0.009637637019865967,0.06965830621083154
1988-12-01,-0.014474943591114408,0.01598933692235824,0.03408070619319983,0.06763893318006453
1989-01-01,-0.014617151746503073,0.01692265582306596,0.03224787899468854,0.069329944007151
1989-02-01,-0.015029236530885644,0.015473446089343621,0.029616583778637566,0.07046111324879926
1989-03-01,-0.01032969714440321,0.015161178560062372,0.031127550173095483,0.07148940533779885
1989-04-01,-0.012069983482102063,0.009345804983336235,0.04309796682000489,0.0729102912202314
1989-05-01,-0.01200364263341381,0.009252246951348766,0.042860567226738394,0.07343072153193032
1989-06-01,-0.01236346327428778,0.00900841345559094,0.04459821537819967,0.07495697149943016
1989-07-01,-0.011329813100924931,0.012275291471803663,0.036700384680170506,0.07660556168607317
1989-08-01,-0.003711144053048061,0.018564258866690678,0.023840033433689713,0.07714603589704123
1989-09-01,0.008579437046550203,0.0420397632972451,-3.518229360331693e-05,0.07761220711538142
1989-10-01,0.00932908732045514,0.046273990182978654,-0.0026730331468500165,0.07769729538034903
1989-11-01,0.015424546744532608,0.04252828473683522,-0.016057926172072898,0.07852353193267499
1989-12-01,0.02193864131306867,0.03833631299668474,-0.026034634624032202,0.07873036556189969
1990-01-01,0.024967848012494208,0.03283829981180238,-0.0314036326099027,0.07797426111964438
1990-02-01,0.02975449028140885,0.015361095150185876,-0.03003644312518255,0.06598754601268403
1990-03-01,0.010627751584164555,-0.026438187299091066,-0.03243371225314692,0.05307082474877596
1990-04-01,-0.02188421616632409,-0.053984242672139165,-0.017598387113386755,0.04752381742128275
1990-05-01,-0.021807782510598027,-0.055114719002290036,-0.017747404718679083,0.047348072023330405
1990-06-01,-0.04158259855039434,8.260000852382265e-05,0.007303733169481415,0.04755526262675203
1990-07-01,-0.04874353289589745,0.03038075458933088,0.049320574511264446,0.047351506364690064
1990-08-01,-0.048070849671442054,0.03997672135956907,0.057816839094931106,0.04869979091351423
1990-09-01,-0.013738960230716357,0.04170163052909848,0.005357625302121173,0.048126861342106926
1990-10-01,-0.01991090156613528,0.024516913252364176,-0.019749143106895503,0.049871613180225156
1990-11-01,-0.017136624892036077,0.026028701375789293,-0.02654784568893162,0.050194413833117055
1990-12-01,-0.01815208222971241,0.026696261726162667,-0.03516021486362377,0.05155255863715692
1991-01-01,-0.013987029122863905,0.028340695332147746,-0.030284028856461743,0.052576262366833534
1991-02-01,-0.03637578078565106,0.016664915187044434,-0.035258969083024935,0.046335001348467915
1991-03-01,0.0044769088737609125,0.03886394730611886,-0.02844572694176757,0.041956591114156
1991-04-01,0.01333321491812335,0.045560073372966844,-0.02332518597556176,0.04265638268003302
1991-05-01,0.017732727170046564,0.04766188729254948,-0.020970900494481907,0.04326813859317629
1991-06-01,0.015528708799676874,0.04761326325348093,-0.023481334034532047,0.04464441347060967
1991-07-01,0.015458583038154524,0.04680505084548019,-0.024255773803740523,0.046440763183086896
1991-08-01,0.017083422968170146,0.0441048995878889,-0.025610061919946504,0.04688219365674013
1991-09-01,0.016089859717488535,0.04560936291348218,-0.024692426890144854,0.04791240247519306
1991-10-01,0.01639925929439591,0.04530475316554187,-0.025591192987921924,0.04966287849939255
1991-11-01,0.016584023568375295,0.045797237291935584,-0.034484308250648694,0.05119680843754912
1991-12-01,0.015869388625228083,0.04608367213687174,-0.03358339621917878,0.052370799202864575
1992-01-01,0.01205737239401828,0.03763917905996254,-0.020489437130338826,0.050937945951237344
